#{"t_start": 1763749154.972331, "env_id": "None"}
r,l,t
-732.3952,14,6.766128
-213.33826,55,6.766205
-555.80237,24,6.779753
953.59595,56,6.779829
-1035.9353,2,6.794261
-903.67505,67,6.794339
-1043.3983,2,6.811081
-2395.3708,12,6.835842
-1604.606,4,6.835915
-2980.4177,81,6.87985
-1266.025,12,6.879934
-1251.5278,3,6.879953
-226.92303,35,6.912353
-3101.3682,34,6.912694
-2386.9375,26,6.928515
-1176.4082,10,6.961847
-989.4324,6,6.975008
-1004.7599,6,6.975122
-1014.01636,24,7.004817
-588.87695,39,7.004875
-643.4598,30,7.022457
-2422.6133,23,7.022752
-2476.025,15,7.022799
-424.68237,56,7.02281
-1245.9482,7,7.035261
-866.4154,6,7.051739
-1402.0198,9,7.051829
-1046.3959,3,7.063641
-1419.3225,4,7.079728
22.75415,26,7.079819
-1499.4285,5,7.079839
-918.79486,24,7.079846
201.39856,46,7.092736
-189.07922,37,7.106399
-1124.6844,4,7.106469
-1719.6777,9,7.106487
-1697.2056,32,7.121766
-909.5497,14,7.121819
-1187.9963,19,7.12183
-1677.5555,27,7.121838
-1032.4958,4,7.136433
-1453.1549,26,7.153732
-234.3294,25,7.165597
-926.3368,31,7.165735
-2618.81,13,7.192871
-1364.5645,7,7.208955
-1451.6738,6,7.20901
-2104.6091,5,7.209024
-1005.0466,14,7.222876
-981.6659,16,7.292007
-1081.4314,29,7.304
-1859.0757,15,7.340497
-941.5807,18,7.356173
-3043.9536,26,7.356276
-1925.3079,12,7.381392
-1558.7985,4,7.397515
-251.61786,22,7.397622
-954.92175,5,7.428628
2790.2656,84,7.445094
3.5786743,24,7.575545
-1154.8613,6,7.600054
-1069.1306,5,7.600137
-2212.97,24,7.600154
-1992.9136,3,7.616722
10.701416,32,7.616813
-1100.5967,3,7.638153
-1044.99,2,7.638216
-677.7301,21,7.638232
-883.463,24,7.652292
-1062.898,2,7.665898
-1472.3218,27,7.683629
-1068.6115,30,7.683723
-899.94525,4,7.700001
-316.20703,28,7.729147
-324.59424,37,7.729255
-973.8506,26,7.755717
-1028.8218,2,7.771651
-3334.5725,36,7.771742
-1618.1371,26,7.771751
73.187744,18,7.791921
-1723.1006,9,7.792014
-1658.2378,9,7.821997
-1030.835,3,7.822103
-1459.2458,25,7.855976
-882.9695,5,7.869288
-1055.7349,3,7.869398
-2730.8877,40,7.887059
-1929.6306,35,7.90202
-929.35925,12,7.902102
-1352.2957,10,7.902122
-397.3482,18,7.91517
-1548.9109,4,7.939255
-1000.871,2,7.939326
-2939.3413,14,7.974986
-2421.7732,14,7.99054
-739.25964,27,8.014352
-1560.554,14,8.041752
-1994.7246,21,8.060061
-1405.8307,24,8.073083
-1568.8528,9,8.073153
-1288.3103,27,8.088012
315.74237,25,8.10636
-978.9671,13,8.10645
-1337.9451,29,8.106468
-798.7177,22,8.143234
-1430.4443,9,8.143303
